основа расчёта,исходная длительность,вызовов на 80 мин,токенов вход,токенов выход,"стоимость, $",обработка,в т.ч. расшифровка
hse_ml_lecture6_slice,10:00,104,262944,67664,1.804,24 мин 04 с,15 мин 34 с
физтех отжигает на псевдонаучк,20:11,19.8,42593,20574,0.436,14 мин 51 с,11 мин 00 с
