прогон,лекция,длительность,разделов,кадров доски,вызовов,токенов вход,токенов выход,"стоимость, $"
335690cac557,hse_ml_lecture6_slice,10:00,4,6,13,32868,8458,0.2255
5cc3fb4bc207,физтех отжигает на псевдонаучке Фи,20:11,4,1,5,10749,5192,0.1101
